Team,count
New Orleans Pelicans,19
Memphis Grizzlies,18
Utah Jazz,16
New York Knicks,16
Milwaukee Bucks,16
Brooklyn Nets,15
Portland Trail Blazers,15
Oklahoma City Thunder,15
Denver Nuggets,15
Washington Wizards,15
Miami Heat,15
Charlotte Hornets,15
Atlanta Hawks,15
San Antonio Spurs,15
Houston Rockets,15
Boston Celtics,15
Indiana Pacers,15
Detroit Pistons,15
Cleveland Cavaliers,15
Chicago Bulls,15
Sacramento Kings,15
Phoenix Suns,15
Los Angeles Lakers,15
Los Angeles Clippers,15
Golden State Warriors,15
Toronto Raptors,15
Philadelphia 76ers,15
Dallas Mavericks,15
Orlando Magic,14
Minnesota Timberwolves,14
